doc_id,selection_type,dominant_topic,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,file_path
304,boundary_t1,4,0.4011356618321941,0.00124614395693292,0.1039768939587948,0.4725677443613359,0.01744190688635298,0.0023393025951974,8.128526722392401e-5,0.00121106114196755,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1127216.pdf
771,boundary_t1,4,0.4023251180577427,7.588483386159316e-5,0.00923017364096135,0.5171399520237504,0.00129733161517659,0.06931988109851095,1.8235241639087765e-5,5.934234883571367e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1139681.pdf
846,boundary_t2,2,0.06488849382159768,0.4086108340044915,0.00784520891602867,0.0131115520499477,0.3279953376397106,0.13106028448458334,0.00152910730587624,0.0449591817777641,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1145231.pdf
997,boundary_t2,2,0.00866388370992732,0.7467935994928016,0.02912494401124846,0.00531872514859663,0.0593531336206783,0.14826681928509725,5.111466361052438e-4,0.00196774809554487,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1153946.pdf
871,boundary_t3,3,0.38206802585741806,3.3278482947858107e-4,0.4455450259474912,0.16190125191637283,5.854400662965557e-4,8.986234157083007e-4,4.464420010274417e-6,0.00866438354722382,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1147291.pdf
120,boundary_t3,4,0.10655367513580172,9.41530655336697e-5,0.4227183785273646,0.464618586922375,0.00103722547321573,0.00424307109539674,7.828319288208959e-6,7.270814610237973e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1122426.pdf
738,boundary_t4,3,0.00547528917599404,2.2610816706605077e-5,0.5909219415212927,0.40135822662227494,8.391206194834383e-4,0.00104792060293421,4.523660738501782e-6,3.3036698057470207e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1138591.pdf
872,boundary_t4,4,0.35270134566579736,3.678369163731734e-4,0.21197885221176552,0.4018735370412515,0.02136573977501046,0.00970358852842469,7.859261639070132e-5,0.00193050724498657,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1147306.pdf
330,boundary_t5,5,0.2812116673006164,0.08313166447175019,0.00523064722553422,0.03005851178979502,0.4146482797148733,0.10581807573744656,9.750289822479304e-4,0.07892612477773628,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1127681.pdf
221,boundary_t5,7,3.568065467994418e-4,6.697309791877813e-4,2.784403860259457e-4,0.00114571192812024,0.40788478281983703,0.00545991505560816,0.5840774958375791,1.2711644684255456e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1125696.pdf
349,boundary_t6,6,0.00242960005445448,0.00187040892118681,0.30263268335851334,0.00861164005271456,0.07709839203699387,0.6055925573409042,3.3977011573577495e-4,0.0014249481194974,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1127966.pdf
423,boundary_t6,6,3.2483266061902774e-4,5.868247502303971e-4,5.264702183676764e-4,0.00104489008421132,0.241667382395494,0.7549932851396322,5.736072615842347e-4,2.827074898615293e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1130576.pdf
50,boundary_t7,7,4.200891297092085e-4,8.446609418329854e-4,4.4246416483217704e-4,0.00137446324435334,0.38247053166987144,0.11380716006659132,0.5004035364112126,2.3709437159759184e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1121726.pdf
233,boundary_t7,7,5.340345857932719e-4,9.92641269783933e-4,5.565442628375264e-4,0.00155602172322935,0.3004054170703342,0.18106248602129912,0.5146012469816039,2.9160808511870874e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1126236.pdf
838,boundary_t8,3,0.02163452772189234,0.0447024208245116,0.4627931967726763,0.00379621861002266,0.00383988916265445,0.007011096820323,2.8013248410204683e-5,0.4561946368395094,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1144746.pdf
373,boundary_t8,8,0.2231692763244312,0.00371713455844802,0.01028604909953104,0.01139892474774621,0.01069419742128804,0.2378759731253924,1.3871965134933152e-4,0.5027197250718138,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1128701.pdf
883,extreme_t1,1,0.9668614465167076,0.00104688628194254,0.00488049713449482,0.02162097173816189,0.00119494769881468,0.00277871925087886,2.0411993078543496e-5,0.0015961193859212,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1148736.pdf
134,extreme_t1,1,0.9621278037532514,4.89547314449361e-4,0.00715733028123888,0.02054910790334831,4.860158278913971e-4,0.00128676104714886,6.997341480947394e-6,0.00789643653119055,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1122776.pdf
1150,extreme_t2,2,2.74727269658232e-5,0.9994004962426524,9.47855562139714e-5,4.166265878813183e-6,2.1909573933963911e-4,2.056907825570656e-4,6.9080542142226275e-6,4.1384632177803137e-5,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1164781.pdf
856,extreme_t2,2,3.078792306311177e-5,0.999322534441066,1.0752246157616972e-4,4.773566534879569e-6,2.300489956809496e-4,2.514411561695215e-4,7.390642494170943e-6,4.550081341511388e-5,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1146656.pdf
945,extreme_t3,3,8.25676475891343e-4,2.897384478924166e-4,0.9957081002282532,0.00172824654217562,2.5207561204491674e-4,8.929609256901826e-4,1.439354119587974e-6,3.017624139322716e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1151861.pdf
955,extreme_t3,3,9.220494790515472e-4,2.846334767066751e-4,0.9954051349156404,0.00184843767279426,2.508156708445328e-4,9.640609866388176e-4,1.4440027681198098e-6,3.2342379555560407e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1152026.pdf
909,extreme_t4,4,0.0016281886159215,1.1781941805227581e-7,6.963791665571762e-4,0.9961499487374637,0.00108765940384081,4.172354557374387e-4,7.346482653372566e-6,1.3124318408177888e-5,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1150646.pdf
1130,extreme_t4,4,0.00307174581277374,8.64965211521343e-8,5.685342670200019e-4,0.99569960294771,4.346499641817411e-4,2.0948450834182785e-4,3.3282595760973553e-6,1.2567743875154984e-5,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1163811.pdf
681,extreme_t5,5,3.6882954315405536e-4,4.702075794830133e-4,3.985787333006672e-4,9.954228445658536e-4,0.9947629448641698,8.705847294687146e-4,4.248116414150127e-4,0.00170862006444245,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1136526.pdf
422,extreme_t5,5,4.389658688446375e-4,5.976257861097285e-4,4.538228259564248e-4,0.00168129748391673,0.9927119679276474,0.00277384390069517,0.00118262967929778,1.598465275323926e-4,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1130571.pdf
661,extreme_t6,6,6.743374511217692e-5,4.686659954118009e-5,1.356169915881642e-4,1.0962463843486744e-4,2.002812300225787e-4,0.9993900596449286,5.626518264969311e-6,4.4490632106762646e-5,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1135711.pdf
770,extreme_t6,6,9.8204523496281e-5,6.379124021702762e-5,1.9553415692967217e-4,1.6096709948284105e-4,2.680515493691196e-4,0.9991461137165112,7.377483128108458e-6,5.9960230865949474e-5,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1139676.pdf
816,extreme_t6,6,9.8204523496281e-5,6.379124021702762e-5,1.9553415692967217e-4,1.6096709948284105e-4,2.680515493691196e-4,0.9991461137165112,7.377483128108458e-6,5.9960230865949474e-5,C:/Users/jws780/Documents/GitHub/jan6th/dojfiles/1141001.pdf
