doc_id,dominant_topic,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
1,1,0.3299590468997854,0.29670297911781784,0.009812453505012895,0.011779002812066978,0.045168131025860994,0.006832635371399663,2.839236002640878e-4,0.2994618276677921
2,8,0.0015648461173912581,0.24730876132684726,0.001504513486154223,5.353458835626208e-4,0.06339289745401773,0.0016948312550344932,2.748457810734796e-4,0.6837239586959188
3,5,4.5899003139787957e-4,6.666308021448613e-4,4.749779373951172e-4,0.0016964970575709913,0.9918618146565858,0.003357001310714006,0.0013105010798281336,1.7358712436311172e-4
4,4,0.11210544610804583,7.526124719596364e-6,0.003594357904420921,0.8815833016456627,0.0017661694535654041,7.511835081791907e-4,1.604433823297307e-5,1.7597091717313885e-4
5,4,0.41037756384857915,3.838695754100196e-5,0.04171460129687919,0.5463053183941161,5.195720665346712e-4,6.003232525126228e-4,5.018112331105068e-6,4.392160715059706e-4
6,4,0.41037756384857915,3.838695754100196e-5,0.04171460129687919,0.5463053183941161,5.195720665346712e-4,6.003232525126228e-4,5.018112331105068e-6,4.392160715059706e-4
7,5,5.089108042744012e-4,7.047313495353334e-4,5.320694192428506e-4,0.001887614475311631,0.9911120167639852,0.003686900033467872,0.0013796036576001981,1.881534965820584e-4
8,4,0.0805902411248037,3.914478801334868e-5,0.10186895220700595,0.8089020175232366,8.067858260678057e-4,0.007071934758446356,7.70616441865569e-6,7.13217608007532e-4
9,4,0.014023314160903754,1.226227270547517e-4,0.04533445251711013,0.698838996201593,0.12281089164101255,0.0018836636325549588,0.11662718854285876,3.5887057691247055e-4
10,4,0.18285905836756763,5.60030952333112e-4,0.13353631541420485,0.32788295739065926,0.28279157046140924,0.06902763228893104,2.5419145388850563e-4,0.0030882436710067424
11,4,0.10758216917021186,0.0036266851604002007,0.16654275889206885,0.2966328205928544,0.05880224675889624,0.13525014278403516,0.23054526406724674,0.0010179125742862327
12,1,0.6619319915659058,1.2965203721240586e-4,0.03512817300280885,0.2859015690540222,0.0013444087428071713,0.014912031072053635,1.51523443872057e-5,6.370221808024825e-4
13,7,5.374916317542443e-5,9.030351147358123e-5,4.6310907549886156e-5,1.407965999363472e-4,0.008574978150554578,0.015628512918883192,0.9754425558281522,2.2792920274489827e-5
14,4,0.19565531381789883,1.0166347333356531e-4,0.0051382735723752605,0.721816690398032,0.07074138245676771,0.00589350679438176,1.2380285447813726e-4,5.293666327329481e-4
15,4,0.05806765318436834,3.7023889170580834e-5,0.13316287735208887,0.805257000238679,0.0020818950038879137,8.468982994655189e-4,1.279031378066008e-5,5.338617185589903e-4
16,5,5.180741606729547e-4,7.19545815008671e-4,5.434659136058471e-4,0.0019206188846743009,0.9906115800348926,0.004076964234556338,0.001416456151863088,1.9329480472698394e-4
17,4,0.22936254538481068,2.697263678243671e-4,0.07151503373974065,0.5671797941694219,0.01983741780815117,0.11054055197765691,8.488005356954348e-5,0.001210050498824388
18,7,3.3458033996721395e-4,5.623821012156064e-4,2.4383707007610684e-4,0.0010300884755536006,0.1994647143228124,0.0027858449293592024,0.7954808878871774,9.766487383861633e-5
19,1,0.5516223809727034,2.4225247176362706e-4,0.05756608807343339,0.30868714095105876,0.06772763843899102,0.01309241024482769,8.23486122385759e-5,9.797402349832449e-4
20,7,3.160617058244508e-4,5.43254845171981e-4,2.3022615910957056e-4,9.920858643757044e-4,0.22727878532359758,0.0025447189237601487,0.7680017562661362,9.311091202452224e-5
21,4,0.016289601644654584,2.7642114376625566e-5,0.002866306674450966,0.841605264235021,0.05271693724360073,0.0015360059511515525,0.0847413460194081,2.1689611733664605e-4
22,7,1.5380295637187784e-5,1.7773141426046517e-5,7.991736045580732e-6,3.409285232637887e-5,5.292536858392309e-4,1.2036665523551647e-4,0.9992724981003698,2.6435331209947738e-6
23,4,0.2606891212705701,5.071421866099776e-4,0.20479009040567825,0.3723778758083472,0.04311483408433515,0.11651946687674354,1.361691087824885e-4,0.0018653002589331781
24,5,6.481360681694353e-4,8.283181655861776e-4,6.687271616316769e-4,0.002371577194583489,0.9895967282141815,0.004043951668104142,0.0016171622661386223,2.253992616056965e-4
25,4,0.1043581472496434,6.480661421489654e-5,0.001996063979914776,0.7697662506982071,0.047001507659628454,0.011295666486856116,0.06512273695818999,3.9482035334528927e-4
26,7,1.55094265101415e-5,1.7872100122900403e-5,8.04876945608243e-6,3.452532529515324e-5,5.386074301774825e-4,1.2027122513923442e-4,0.99926254270992,2.623013378970348e-6
27,4,0.05475951080470021,1.5411949466681714e-5,0.09103357920874387,0.8524320001845204,5.381799039184935e-4,6.835618681682965e-4,3.949606947328039e-6,5.338064735345435e-4
28,5,5.270921998296779e-4,6.439418490394707e-4,5.229699983439193e-4,0.002009207777139442,0.9916262597422733,0.003162140878263387,0.0013275292904113463,1.8085826470006777e-4
29,4,0.25487160825466687,2.8127543425174594e-4,0.16018648206928734,0.4881043443467429,0.004773731084060582,0.0011675782618223302,2.4863340704298987e-5,0.09059011720846416
30,4,0.04257036274467308,0.0022001054801975605,0.17768566727660556,0.36254270817506956,0.0018633389852860875,0.113565914271466,1.9892243754689805e-5,0.29955201082294747
31,7,3.211795273271993e-4,5.232712616130137e-4,2.2607446986394085e-4,9.576412911028072e-4,0.15948851739916065,0.002494646004883036,0.8358995064540545,8.916359199535806e-5
32,4,0.2948330795357938,4.210279707263583e-5,0.07115843247718881,0.6322137930636267,5.907572983115056e-4,6.129598500813997e-4,5.0434354610433914e-6,5.438315424636045e-4
33,7,3.1650587203164987e-4,5.056314437822924e-4,2.2533646036425252e-4,0.0010030230519259425,0.20377556989835194,0.002742119094751498,0.7913411637953357,9.065038345650838e-5
34,4,0.14358302228225114,0.003097129826882343,0.12206616280422337,0.3438193307515304,0.0019954346246912518,0.04773795945031059,1.973288647980116e-5,0.337681227373631
35,5,5.583264751477235e-4,9.706212316649796e-4,7.479132005516477e-4,0.001938784801856354,0.88929877203571,0.1048304943011236,0.001311073824906233,3.4401412903926546e-4
36,4,0.23293651415563732,9.833675100777412e-5,0.0812273926528553,0.6659660266663299,0.0015027540934261186,0.017318785225767287,1.5699487324817215e-5,9.344909676515489e-4
37,7,3.477555996909035e-4,5.82280242848695e-4,2.453314810400879e-4,0.0010479519000304782,0.20487465241016597,0.0027325591046466606,0.7900705125220975,9.895673948037353e-5
38,7,1.3354830404856707e-5,1.545853486791635e-5,6.859076561193529e-6,2.9602598745719755e-5,4.502203783182901e-4,1.040274323050762e-4,0.9993782494273418,2.2277214548480345e-6
39,5,4.908280809398946e-4,6.865886135978185e-4,5.055902758588772e-4,0.001808896549777315,0.9915296001908702,0.003454805273154644,0.0013419610897038767,1.8172992609702938e-4
40,4,0.009650731524763142,1.709242168469461e-4,0.2546596571008083,0.5637763067834068,0.05344853540891755,0.11710276997009897,1.192133419152473e-4,0.0010718616532426808
41,7,4.621984983921586e-4,7.622724127345091e-4,6.8084146455439e-4,0.0014764252196586807,0.4164059992922459,0.0034334505121413703,0.5766213947007783,1.5741789949407723e-4
42,5,0.002448779846249532,0.0025221495785539916,0.010948576423847509,0.0050622440024570454,0.8484033764097717,0.11579031652387319,0.0013081452570917393,0.013516411958155136
43,4,0.06880585885457553,1.2465447372136112e-5,0.035993675010596714,0.8929965894930334,5.839488583972204e-4,0.001125062117580898,4.956958216256443e-6,4.774432602279761e-4
44,4,0.25295255586374266,4.756077533846305e-5,0.17630510968508026,0.5683428862763603,4.585326730768985e-4,0.001488447871055633,4.756402934692423e-6,4.001504524112429e-4
45,5,0.0012382119297404297,0.0016919188854938177,0.0010273067015923244,0.003964400102114135,0.8830678039077012,0.007433664893453283,0.1012067989791024,3.698946008027254e-4
46,4,0.08590898312273806,3.104374735100834e-4,0.1563140083824474,0.562812882705766,0.014984884600664519,0.17324936865501758,7.214903258652474e-5,0.006347286027269961
47,7,3.003100393193568e-4,5.04364470316187e-4,2.1337645329966073e-4,9.024915715636974e-4,0.16312976444835997,0.002478679955953815,0.8323853870498455,8.562601134250102e-5
48,4,0.008554829257149179,1.1358979360705628e-5,0.07443881651247537,0.8777221688224727,9.937295806650048e-4,0.03799891251825095,9.791901481799921e-6,2.703924281435809e-4
49,4,0.13041016156341254,7.859780793161208e-5,0.34743569969750776,0.5191342072806338,5.887842690890316e-4,0.0011577189782993303,4.4206670715615705e-6,0.001190409736054734
50,7,4.2008912970920844e-4,8.446609418329854e-4,4.4246416483217704e-4,0.0013744632443533464,0.38247053166987144,0.11380716006659132,0.5004035364112126,2.3709437159759184e-4
51,5,5.7150662828781e-4,7.767693587505447e-4,5.953856117932698e-4,0.0020477009390813955,0.990133103618823,0.004231886804422849,0.0014178579838901749,2.2578905495013703e-4
52,7,1.1196420426808603e-4,9.64516982421004e-6,3.685211057921045e-5,6.972558009181383e-4,6.088775089609398e-4,1.401821079860046e-4,0.9983894546776031,5.768419860725663e-6
53,8,0.09948272217346343,1.6044922718223508e-4,0.006533201469763239,0.19439536590155107,0.001741394699884198,0.020549455429406095,1.7936468137872602e-5,0.6771194746306118
54,8,0.001176407482529161,6.716660180056308e-5,0.0011051220636794014,0.006442777827965594,4.61915671427042e-4,0.008150901407033683,4.834151872100757e-6,0.9825908747936924
55,1,0.4840303227402639,0.0017593691853595847,0.04207270669972946,0.46879179650318487,9.198438918367579e-4,6.253122034705364e-4,1.1710232693236503e-5,0.0017889385434614353
56,5,0.0025547140528598333,7.699778625689171e-4,0.0013498149533467726,0.010035940814776838,0.9766041532390032,0.0068000452883174,0.0014798758902077613,4.0547789891954926e-4
